acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre
0.895,0.323,0.0114,0.636,4,0.171,-38.855,0,0.0343,112.281,0.134,classical
0.964,0.374,0.298,0.834,8,0.123,-17.187,0,0.0426,124.431,0.311,classical
0.915,0.416,0.234,0.945,7,0.115,-14.569,0,0.0339,109.221,0.199,classical
0.961,0.069,0.101,0.795,2,0.444,-23.487,0,0.0407,74.782,0.0707,classical
0.957,0.247,0.298,0.9,0,0.0943,-15.661,0,0.0395,97.784,0.157,classical
0.957,0.247,0.298,0.9,0,0.0943,-15.661,0,0.0395,97.784,0.157,classical
0.96,0.274,0.121,0.857,3,0.0924,-16.761,1,0.0373,76.204,0.155,classical
0.833,0.222,0.0353,0.0228,7,0.1,-27.581,1,0.0446,99.398,0.0394,classical
0.764,0.491,0.142,0.74,4,0.248,-17.265,1,0.0361,112.295,0.234,classical
0.83,0.34,0.489,0.91,7,0.141,-15.316,1,0.0412,157.024,0.468,classical
0.804,0.444,0.074,0.00319,5,0.226,-22.441,1,0.0523,128.275,0.225,classical
0.818,0.4,0.247,0.64,5,0.119,-18.249,0,0.0423,162.078,0.394,classical
0.944,0.459,0.287,0.0214,1,0.183,-16.162,1,0.0338,127.697,0.412,classical
0.915,0.416,0.234,0.945,7,0.115,-14.569,0,0.0339,109.221,0.199,classical
0.961,0.069,0.101,0.795,2,0.444,-23.487,0,0.0407,74.782,0.0707,classical
0.931,0.311,0.123,0.898,2,0.178,-19.708,1,0.0367,141.485,0.203,classical
0.897,0.322,0.154,0.857,2,0.232,-18.765,1,0.0467,138.773,0.11,classical
0.975,0.355,0.188,0.859,7,0.122,-18.089,0,0.0369,113.537,0.214,classical
0.963,0.429,0.0959,0.00499,5,0.0895,-19.686,1,0.0501,147.424,0.263,classical
0.89,0.275,0.157,0.842,7,0.186,-18.752,1,0.0636,73.289,0.304,classical
0.87,0.0692,0.0463,0.308,2,0.0937,-25.35,0,0.0373,71.749,0.0714,classical
0.924,0.168,0.0698,0.934,2,0.126,-27.22,1,0.0471,112.654,0.047,classical
0.879,0.567,0.369,0.00478,6,0.126,-14.772,1,0.041,101.105,0.891,classical
0.968,0.138,0.0322,0.00434,11,0.108,-25.594,0,0.0507,81.258,0.0545,classical
0.911,0.136,0.164,0.916,4,0.109,-18.756,0,0.0364,58.303,0.071,classical
0.895,0.323,0.0114,0.636,4,0.171,-38.855,0,0.0343,112.281,0.134,classical
0.944,0.149,0.128,0.928,2,0.0703,-20.459,1,0.0462,47.362,0.113,classical
0.941,0.15,0.229,0.845,5,0.118,-17.426,0,0.0657,65.121,0.0793,classical
0.976,0.39,0.258,0.881,1,0.165,-14.175,1,0.0297,78.011,0.15,classical
0.991,0.446,0.189,0.852,10,0.128,-21.643,1,0.0335,116.26,0.451,classical
0.993,0.286,0.0144,0.912,1,0.102,-26.525,1,0.041,64.28,0.0365,classical
